Fourier components of V(vout)
DC component:-0.000942167

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	9.708e+00	1.000e+00	   -0.75°	    0.00°
    2   	1.400e+04	4.622e-04	4.761e-05	   87.08°	   87.83°
    3   	2.100e+04	4.948e-04	5.097e-05	   87.11°	   87.87°
    4   	2.800e+04	4.609e-04	4.748e-05	   94.29°	   95.04°
    5   	3.500e+04	4.438e-04	4.571e-05	   75.57°	   76.32°
    6   	4.200e+04	4.948e-04	5.097e-05	   86.21°	   86.96°
    7   	4.900e+04	4.595e-04	4.733e-05	   85.77°	   86.52°
    8   	5.600e+04	4.339e-04	4.469e-05	   88.95°	   89.70°
    9   	6.300e+04	5.208e-04	5.365e-05	   83.08°	   83.84°
   10   	7.000e+04	5.729e-04	5.902e-05	   97.28°	   98.03°
Total Harmonic Distortion: 0.014968%
