Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+04	2.797e+01	1.000e+00	   -1.08°	    0.00°
    2   	2.000e+04	5.270e-03	1.884e-04	   53.38°	   54.46°
    3   	3.000e+04	1.128e-02	4.033e-04	   74.76°	   75.84°
    4   	4.000e+04	3.117e-03	1.114e-04	   95.08°	   96.16°
    5   	5.000e+04	1.620e-03	5.793e-05	   -7.13°	   -6.05°
    6   	6.000e+04	4.217e-03	1.508e-04	   43.75°	   44.84°
    7   	7.000e+04	2.346e-03	8.387e-05	   44.25°	   45.33°
    8   	8.000e+04	3.283e-03	1.174e-04	   59.09°	   60.17°
    9   	9.000e+04	3.687e-03	1.318e-04	   73.99°	   75.07°
   10   	1.000e+05	2.422e-03	8.657e-05	   85.62°	   86.70°
Total Harmonic Distortion: 0.053133%
