Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	1.808e+01	1.000e+00	   -0.06°	    0.00°
    2   	2.000e+03	1.013e-04	5.602e-06	  119.08°	  119.15°
    3   	3.000e+03	1.102e-04	6.096e-06	   55.69°	   55.75°
    4   	4.000e+03	8.597e-05	4.755e-06	   81.87°	   81.93°
    5   	5.000e+03	5.115e-05	2.829e-06	   35.38°	   35.44°
    6   	6.000e+03	3.231e-05	1.787e-06	   54.24°	   54.30°
    7   	7.000e+03	8.037e-05	4.445e-06	  107.97°	  108.03°
    8   	8.000e+03	6.313e-05	3.491e-06	   61.00°	   61.07°
    9   	9.000e+03	1.463e-04	8.094e-06	  164.01°	  164.07°
   10   	1.000e+04	4.292e-05	2.374e-06	   60.81°	   60.88°
Total Harmonic Distortion: 0.001433%
