Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+04	1.807e+01	1.000e+00	   -1.07°	    0.00°
    2   	2.000e+04	3.167e-03	1.753e-04	   64.75°	   65.83°
    3   	3.000e+04	2.903e-03	1.606e-04	   55.74°	   56.82°
    4   	4.000e+04	2.495e-03	1.381e-04	   55.07°	   56.14°
    5   	5.000e+04	1.965e-03	1.088e-04	   54.63°	   55.70°
    6   	6.000e+04	2.003e-03	1.109e-04	   65.09°	   66.16°
    7   	7.000e+04	1.885e-03	1.043e-04	   62.68°	   63.75°
    8   	8.000e+04	1.837e-03	1.017e-04	   64.54°	   65.62°
    9   	9.000e+04	1.906e-03	1.055e-04	   65.65°	   66.72°
   10   	1.000e+05	1.856e-03	1.027e-04	   68.02°	   69.09°
Total Harmonic Distortion: 0.037764%


Con arreglo magico

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+04	1.784e+01	1.000e+00	   -1.09°	    0.00°
    2   	2.000e+04	3.833e-04	2.149e-05	 -175.22°	 -174.13°
    3   	3.000e+04	1.471e-04	8.246e-06	  -62.03°	  -60.94°
    4   	4.000e+04	3.918e-05	2.197e-06	 -163.05°	 -161.96°
    5   	5.000e+04	1.182e-04	6.627e-06	  -91.75°	  -90.67°
    6   	6.000e+04	6.687e-05	3.749e-06	 -136.55°	 -135.46°
    7   	7.000e+04	1.916e-04	1.074e-05	  -88.93°	  -87.84°
    8   	8.000e+04	9.612e-05	5.389e-06	 -161.92°	 -160.83°
    9   	9.000e+04	4.318e-05	2.421e-06	    8.71°	    9.80°
   10   	1.000e+05	5.966e-05	3.345e-06	 -159.17°	 -158.09°
   11   	1.100e+05	4.749e-05	2.662e-06	 -112.68°	 -111.60°
   12   	1.200e+05	3.537e-05	1.983e-06	 -110.64°	 -109.55°
   13   	1.300e+05	5.512e-05	3.090e-06	  -73.95°	  -72.86°
   14   	1.400e+05	3.785e-05	2.122e-06	  166.64°	  167.72°
   15   	1.500e+05	2.645e-05	1.483e-06	 -154.50°	 -153.42°
   16   	1.600e+05	7.115e-05	3.989e-06	 -119.31°	 -118.22°
   17   	1.700e+05	5.800e-05	3.251e-06	   58.98°	   60.06°
   18   	1.800e+05	1.900e-05	1.065e-06	  157.53°	  158.62°
   19   	1.900e+05	6.052e-05	3.393e-06	  -81.27°	  -80.18°
   20   	2.000e+05	1.785e-05	1.001e-06	  -97.96°	  -96.88°
Total Harmonic Distortion: 0.002866%
