Fourier components of V(vout)
DC component:-0.0052208

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	9.708e+00	1.000e+00	   -0.08°	    0.00°
    2   	2.000e+03	1.620e-04	1.669e-05	  100.41°	  100.49°
    3   	3.000e+03	4.089e-04	4.212e-05	    1.93°	    2.01°
    4   	4.000e+03	1.451e-04	1.495e-05	 -148.86°	 -148.78°
    5   	5.000e+03	3.077e-04	3.170e-05	  143.63°	  143.71°
    6   	6.000e+03	2.795e-04	2.879e-05	  -44.63°	  -44.55°
    7   	7.000e+03	4.513e-05	4.648e-06	 -178.49°	 -178.41°
    8   	8.000e+03	3.860e-04	3.976e-05	   69.13°	   69.21°
    9   	9.000e+03	3.767e-04	3.881e-05	  -46.69°	  -46.61°
   10   	1.000e+04	4.641e-04	4.780e-05	  139.77°	  139.85°
   11   	1.100e+04	3.697e-04	3.808e-05	   86.55°	   86.63°
   12   	1.200e+04	7.113e-04	7.327e-05	  -60.46°	  -60.38°
   13   	1.300e+04	1.566e-04	1.613e-05	  -15.75°	  -15.67°
   14   	1.400e+04	3.768e-04	3.882e-05	   13.32°	   13.41°
   15   	1.500e+04	8.127e-04	8.372e-05	 -121.92°	 -121.84°
   16   	1.600e+04	6.074e-04	6.257e-05	 -175.47°	 -175.39°
   17   	1.700e+04	4.387e-04	4.519e-05	   86.43°	   86.51°
   18   	1.800e+04	1.720e-04	1.772e-05	 -103.99°	 -103.91°
   19   	1.900e+04	3.539e-04	3.645e-05	   28.48°	   28.56°
   20   	2.000e+04	2.603e-04	2.681e-05	   79.51°	   79.59°
Total Harmonic Distortion: 0.018280%
