Fourier components of V(vout)
DC component:-0.0161892

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	3.237e+01	1.000e+00	   -0.08°	    0.00°
    2   	2.000e+03	1.141e-04	3.525e-06	  127.35°	  127.44°
    3   	3.000e+03	1.856e-04	5.735e-06	  -14.61°	  -14.53°
    4   	4.000e+03	7.785e-05	2.405e-06	  -55.98°	  -55.90°
    5   	5.000e+03	1.395e-04	4.310e-06	  124.29°	  124.37°
    6   	6.000e+03	8.341e-05	2.577e-06	  103.91°	  103.99°
    7   	7.000e+03	2.409e-04	7.444e-06	 -179.45°	 -179.37°
    8   	8.000e+03	7.506e-05	2.319e-06	  170.29°	  170.37°
    9   	9.000e+03	2.257e-04	6.973e-06	   35.00°	   35.08°
   10   	1.000e+04	2.485e-04	7.678e-06	   19.31°	   19.39°
Total Harmonic Distortion: 0.001564%
