Fourier components of V(vout)
DC component:-0.00266747

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	7.000e+03	3.257e+01	1.000e+00	   -0.84°	    0.00°
    2   	1.400e+04	1.843e-03	5.660e-05	  -50.88°	  -50.04°
    3   	2.100e+04	1.084e-02	3.327e-04	   53.59°	   54.43°
    4   	2.800e+04	3.066e-03	9.414e-05	  138.92°	  139.76°
    5   	3.500e+04	2.583e-03	7.933e-05	  -63.51°	  -62.67°
    6   	4.200e+04	2.446e-04	7.510e-06	   64.06°	   64.90°
    7   	4.900e+04	1.598e-03	4.907e-05	 -108.12°	 -107.28°
    8   	5.600e+04	1.632e-03	5.012e-05	  -24.69°	  -23.85°
    9   	6.300e+04	1.856e-03	5.698e-05	  164.99°	  165.83°
   10   	7.000e+04	7.724e-04	2.372e-05	 -113.87°	 -113.03°
   11   	7.700e+04	1.227e-03	3.766e-05	   83.02°	   83.86°
   12   	8.400e+04	8.910e-04	2.736e-05	  122.67°	  123.51°
   13   	9.100e+04	5.094e-04	1.564e-05	   71.78°	   72.62°
   14   	9.800e+04	5.512e-04	1.692e-05	   73.64°	   74.48°
   15   	1.050e+05	3.134e-04	9.622e-06	   25.27°	   26.11°
   16   	1.120e+05	5.004e-04	1.536e-05	  -53.93°	  -53.09°
   17   	1.190e+05	1.751e-04	5.375e-06	  -26.43°	  -25.59°
   18   	1.260e+05	8.084e-04	2.482e-05	  -84.78°	  -83.94°
   19   	1.330e+05	2.480e-04	7.615e-06	  -57.76°	  -56.92°
   20   	1.400e+05	1.192e-04	3.661e-06	  -71.29°	  -70.45°
Total Harmonic Distortion: 0.037628%
