Fourier components of V(vout)
DC component:-0.00520152

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+03	9.707e+00	1.000e+00	   -0.09°	    0.00°
    2   	2.000e+03	4.497e-05	4.633e-06	  166.31°	  166.40°
    3   	3.000e+03	1.276e-04	1.314e-05	  -18.36°	  -18.27°
    4   	4.000e+03	6.814e-05	7.019e-06	   86.17°	   86.26°
    5   	5.000e+03	1.300e-04	1.339e-05	 -109.74°	 -109.65°
    6   	6.000e+03	5.521e-05	5.688e-06	  -43.93°	  -43.84°
    7   	7.000e+03	4.349e-05	4.480e-06	  175.10°	  175.19°
    8   	8.000e+03	6.714e-05	6.917e-06	 -175.80°	 -175.71°
    9   	9.000e+03	8.318e-05	8.569e-06	 -171.91°	 -171.82°
   10   	1.000e+04	7.834e-05	8.070e-06	  -52.51°	  -52.42°
Total Harmonic Distortion: 0.002572%
