Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+04	2.797e+01	1.000e+00	   -1.08°	    0.00°
    2   	2.000e+04	5.270e-03	1.884e-04	   53.38°	   54.46°
    3   	3.000e+04	1.128e-02	4.033e-04	   74.76°	   75.84°
    4   	4.000e+04	3.117e-03	1.114e-04	   95.08°	   96.16°
    5   	5.000e+04	1.620e-03	5.793e-05	   -7.13°	   -6.05°
    6   	6.000e+04	4.217e-03	1.508e-04	   43.75°	   44.84°
    7   	7.000e+04	2.346e-03	8.387e-05	   44.25°	   45.33°
    8   	8.000e+04	3.283e-03	1.174e-04	   59.09°	   60.17°
    9   	9.000e+04	3.687e-03	1.318e-04	   73.99°	   75.07°
   10   	1.000e+05	2.422e-03	8.657e-05	   85.62°	   86.70°
Total Harmonic Distortion: 0.053133%


Con arreglo magico

Harmonic	Frequency	 Fourier 	Normalized	 Phase  	Normalized
 Number 	  [Hz]   	Component	 Component	[degree]	Phase [deg]
    1   	1.000e+04	2.797e+01	1.000e+00	   -1.09°	    0.00°
    2   	2.000e+04	1.085e-03	3.880e-05	  -12.67°	  -11.58°
    3   	3.000e+04	2.604e-03	9.311e-05	   83.65°	   84.74°
    4   	4.000e+04	2.173e-03	7.767e-05	  179.63°	  180.72°
    5   	5.000e+04	2.325e-03	8.311e-05	  -88.99°	  -87.90°
    6   	6.000e+04	9.040e-04	3.232e-05	   -1.38°	   -0.29°
    7   	7.000e+04	5.890e-04	2.106e-05	   88.20°	   89.29°
    8   	8.000e+04	3.566e-05	1.275e-06	  -64.02°	  -62.93°
    9   	9.000e+04	1.897e-04	6.783e-06	  121.64°	  122.73°
   10   	1.000e+05	3.786e-04	1.354e-05	 -166.44°	 -165.35°
   11   	1.100e+05	4.970e-04	1.777e-05	  -76.34°	  -75.25°
   12   	1.200e+05	1.105e-04	3.949e-06	  -37.34°	  -36.26°
   13   	1.300e+05	4.773e-05	1.706e-06	  -24.27°	  -23.18°
   14   	1.400e+05	2.322e-05	8.302e-07	   83.04°	   84.13°
   15   	1.500e+05	3.456e-05	1.235e-06	 -163.46°	 -162.37°
   16   	1.600e+05	1.990e-04	7.114e-06	 -162.63°	 -161.54°
   17   	1.700e+05	1.619e-05	5.789e-07	   14.00°	   15.09°
   18   	1.800e+05	7.738e-05	2.767e-06	  -64.40°	  -63.31°
   19   	1.900e+05	8.485e-05	3.033e-06	   -0.10°	    0.99°
   20   	2.000e+05	2.205e-05	7.884e-07	  137.45°	  138.54°
Total Harmonic Distortion: 0.015887%
